Country,Year,U14,15-24,25-34,35-44,45-54,55-64,65+,U20,20-29,30-39,40-49,50-69,70+
Northern Ireland,2007,0,5,10,19,7,5,2,,,,,,
Northern Ireland,2008,0,3,17,16,7,6,4,,,,,,
Northern Ireland,2009,0,7,10,26,8,4,2,,,,,,
Northern Ireland,2010,0,12,19,12,12,4,4,,,,,,
Northern Ireland,2011,0,11,18,12,7,9,2,,,,,,
Northern Ireland,2012,0,9,20,23,15,6,2,,,,,,
Northern Ireland,2013,0,4,16,31,19,8,1,,,,,,
Northern Ireland,2014,0,14,25,25,14,8,2,,,,,,
Northern Ireland,2015,0,15,38,24,24,7,6,,,,,,
Northern Ireland,2016,0,18,37,25,22,8,2,,,,,,
Northern Ireland,2017,0,13,42,30,18,6,1,,,,,,
England,2018,,,,,,,,47,352,708,869,614,80
England,2017,,,,,,,,31,277,612,745,558,87
England,2016,,,,,,,,30,306,678,782,514,76
England,2015,,,,,,,,34,281,677,704,525,79
England,2014,,,,,,,,28,291,617,669,433,82
England,2013,,,,,,,,27,279,556,538,337,75
England,2012,,,,,,,,21,204,450,476,281,60
England,2011,,,,,,,,30,245,465,479,289,74
England,2010,,,,,,,,33,312,596,438,278,77
England,2009,,,,,,,,34,372,603,498,260,59
England,2008,,,,,,,,53,391,632,493,238,55
England,2007,,,,,,,,36,404,598,394,188,48
England,2006,,,,,,,,43,371,546,323,183,57
England,2005,,,,,,,,37,380,592,323,178,57
England,2004,,,,,,,,42,402,541,265,168,61
England,2003,,,,,,,,47,384,513,240,115,59
England,2002,,,,,,,,64,523,542,227,145,57
England,2001,,,,,,,,70,559,597,305,123,81
England,2000,,,,,,,,70,494,539,282,117,55
England,1999,,,,,,,,88,529,558,211,109,74
England,1998,,,,,,,,93,495,452,229,85,51
England,1997,,,,,,,,78,501,335,177,90,59
England,1996,,,,,,,,65,418,337,150,73,64
England,1995,,,,,,,,58,380,300,139,85,64
England,1994,,,,,,,,58,324,251,131,90,72
England,1993,,,,,,,,47,248,201,112,94,85
Wales,2018,,,,,,,,3,27,58,69,43,8
Wales,2017,,,,,,,,2,28,66,46,35,8
Wales,2016,,,,,,,,1,31,66,57,35,2
Wales,2015,,,,,,,,3,26,59,50,27,3
Wales,2014,,,,,,,,3,19,32,40,16,3
Wales,2013,,,,,,,,3,31,44,35,16,6
Wales,2012,,,,,,,,4,27,45,36,19,4
Wales,2011,,,,,,,,4,31,46,44,20,3
Wales,2010,,,,,,,,6,29,69,32,19,7
Wales,2009,,,,,,,,6,43,48,26,10,4
Wales,2008,,,,,,,,3,30,43,28,8,3
Wales,2007,,,,,,,,3,29,49,24,15,5
Wales,2006,,,,,,,,4,30,38,15,14,1
Wales,2005,,,,,,,,5,21,44,16,8,1
Wales,2004,,,,,,,,1,19,28,10,10,5
Wales,2003,,,,,,,,6,43,37,12,10,3
Wales,2002,,,,,,,,6,33,26,16,7,3
Wales,2001,,,,,,,,5,44,28,16,6,0
Wales,2000,,,,,,,,4,21,36,12,5,3
Wales,1999,,,,,,,,4,31,23,11,5,2
Wales,1998,,,,,,,,4,28,15,4,1,5
Wales,1997,,,,,,,,10,27,12,5,7,0
Wales,1996,,,,,,,,5,18,10,7,3,3
Wales,1995,,,,,,,,7,14,9,6,8,3
Wales,1994,,,,,,,,3,7,11,6,7,2
Wales,1993,,,,,,,,2,18,5,2,3,3
Scotland,1996,0,89,103,32,13,10,0,,,,,,
Scotland,1997,0,76,89,31,14,14,0,,,,,,
Scotland,1998,0,88,103,37,9,12,0,,,,,,
Scotland,1999,0,94,118,62,10,7,0,,,,,,
Scotland,2000,0,73,126,69,16,3,5,,,,,,
Scotland,2001,1,79,140,70,31,8,4,,,,,,
Scotland,2002,0,100,153,92,27,7,3,,,,,,
Scotland,2003,0,78,123,81,20,11,6,,,,,,
Scotland,2004,0,81,138,92,35,2,8,,,,,,
Scotland,2005,1,47,104,126,37,11,10,,,,,,
Scotland,2006,0,69,154,127,54,15,1,,,,,,
Scotland,2007,0,94,149,149,45,11,7,,,,,,
Scotland,2008,0,92,211,174,71,17,9,,,,,,
Scotland,2009,2,69,178,189,78,20,9,,,,,,
Scotland,2010,0,65,161,158,76,20,5,,,,,,
Scotland,2011,0,58,184,212,94,26,10,,,,,,
Scotland,2012,0,46,171,199,115,34,16,,,,,,
Scotland,2013,0,32,138,184,125,39,9,,,,,,
Scotland,2014,1,46,157,213,148,37,12,,,,,,
Scotland,2015,0,30,163,249,183,61,20,,,,,,
Scotland,2016,0,42,199,327,214,66,20,,,,,,
Scotland,2017,3,36,185,360,268,64,18,,,,,,
Scotland,2018,1,64,217,442,345,90,28,,,,,,
